question_id,subject,bloom_level,question_text,question_length,mean_score,std_dev,pass_rate,discrimination_index,difficulty_label
Q0001,Mathematics,Remember,What is the formula for number theory?,7,26.12,11.67,0.14,0.71,Medium
Q0002,Mathematics,Remember,List the properties of statistics.,5,75.82,7.21,0.88,0.28,Easy
Q0003,Physics,Remember,What is the SI unit of thermodynamics?,7,23.99,15.07,0.2,0.53,Medium
Q0004,Biology,Remember,What is osmosis?,3,53.6,10.65,0.46,0.41,Easy
Q0005,Physics,Create,Develop a theoretical model incorporating quantum mechanics.,7,66.54,13.77,0.66,0.31,Medium
Q0006,Computer Science,Remember,List the types of binary trees.,6,56.34,16.34,0.5,0.39,Easy
Q0007,Computer Science,Understand,Summarize the working of sorting algorithms.,6,51.75,17.25,0.66,0.35,Easy
Q0008,Mathematics,Apply,Calculate the value of integration given the following data.,9,46.65,17.13,0.62,0.48,Medium
Q0009,Biology,Understand,Illustrate the cycle of cellular respiration with a diagram.,9,76.17,6.93,0.81,0.25,Easy
Q0010,Computer Science,Evaluate,Critique the design of operating system scheduling in the given system.,11,63.89,16.61,0.5,0.34,Medium
Q0011,Biology,Analyze,Analyze the relationship between protein synthesis and cellular respiration.,9,56.7,10.51,0.62,0.54,Medium
Q0012,Physics,Remember,Define relativity in the context of physics.,7,73.95,3.02,0.92,0.28,Easy
Q0013,Physics,Create,Design an experiment to measure electric circuits accurately.,8,49.97,11.74,0.5,0.54,Hard
Q0014,Biology,Remember,Define immune response in biological terms.,6,79.07,9.9,0.94,0.16,Easy
Q0015,Mathematics,Create,Develop a solution strategy for graph theory that minimizes errors.,10,46.73,15.61,0.68,0.33,Medium
Q0016,Physics,Evaluate,Assess whether quantum mechanics holds true in the given scenario.,10,30.58,12.54,0.29,0.71,Hard
Q0017,Physics,Analyze,Compare electric circuits in elastic and inelastic collisions.,8,31.29,12.97,0.12,0.46,Hard
Q0018,Mathematics,Remember,Define trigonometry in mathematics.,4,21.47,10.81,0.11,0.57,Medium
Q0019,Computer Science,Evaluate,Critique the design of neural networks in the given system.,10,93.39,7.0,0.86,0.3,Easy
Q0020,Mathematics,Create,Design a mathematical model using calculus to represent a real-world problem.,11,55.59,12.67,0.67,0.47,Medium
Q0021,Physics,Remember,Define thermodynamics in the context of physics.,7,74.76,6.14,0.85,0.17,Easy
Q0022,Mathematics,Remember,Define probability in mathematics.,4,58.51,8.15,0.48,0.49,Easy
Q0023,Biology,Analyze,Differentiate between genetic mutation and enzyme activity.,7,80.03,3.41,0.84,0.35,Easy
Q0024,Biology,Create,Construct a phylogenetic tree based on natural selection.,8,44.89,16.67,0.35,0.5,Hard
Q0025,Mathematics,Create,Design a mathematical model using graph theory to represent a real-world problem.,12,46.25,12.77,0.73,0.43,Medium
Q0026,Computer Science,Remember,Define the term operating system scheduling.,6,61.88,10.35,0.49,0.52,Easy
Q0027,Mathematics,Analyze,Break down the steps involved in solving statistics.,8,59.13,11.16,0.53,0.47,Medium
Q0028,Biology,Understand,Illustrate the cycle of immune response with a diagram.,9,52.5,11.16,0.68,0.32,Easy
Q0029,Mathematics,Evaluate,Assess the limitations of trigonometry in real-world applications.,8,76.63,9.53,0.96,0.32,Medium
Q0030,Biology,Evaluate,Judge the effectiveness of mitosis as a defense mechanism.,9,35.29,21.85,0.33,0.45,Hard
Q0031,Physics,Remember,What is the SI unit of optics?,7,38.56,11.87,0.2,0.52,Medium
Q0032,Biology,Apply,Apply your knowledge of cellular respiration to explain the given case study.,12,41.15,11.11,0.25,0.55,Medium
Q0033,Physics,Understand,Describe the relationship between relativity and energy.,7,33.79,15.13,0.1,0.48,Medium
Q0034,Physics,Evaluate,Evaluate the impact of gravitational force on energy conservation.,9,55.74,8.42,0.56,0.53,Medium
Q0035,Computer Science,Create,Develop an algorithm based on neural networks that improves efficiency.,10,89.5,9.19,0.85,0.26,Medium
Q0036,Computer Science,Analyze,Compare dynamic programming and machine learning in terms of performance.,10,88.41,5.33,0.97,0.3,Easy
Q0037,Mathematics,Analyze,Break down the steps involved in solving statistics.,8,41.46,12.67,0.39,0.61,Medium
Q0038,Mathematics,Create,Develop a solution strategy for graph theory that minimizes errors.,10,78.21,9.05,0.98,0.17,Medium
Q0039,Mathematics,Remember,List the properties of matrices.,5,26.53,16.97,0.44,0.46,Medium
Q0040,Biology,Evaluate,Critique the experimental design used to study photosynthesis.,8,22.89,20.79,0.17,0.47,Hard
Q0041,Computer Science,Apply,Write a program to implement dynamic programming.,7,68.72,17.21,0.64,0.47,Easy
Q0042,Physics,Create,Formulate a hypothesis about electromagnetism based on the data.,9,55.06,10.96,0.49,0.41,Hard
Q0043,Biology,Evaluate,Judge the effectiveness of genetic mutation as a defense mechanism.,10,27.6,12.52,0.38,0.66,Hard
Q0044,Biology,Create,Design an experiment to test the effect of temperature on enzyme activity.,12,81.83,9.31,0.94,0.14,Medium
Q0045,Physics,Remember,State Newton's law related to momentum.,6,38.78,18.07,0.18,0.52,Medium
Q0046,Biology,Evaluate,Critique the experimental design used to study genetic mutation.,9,21.82,14.97,0.32,0.52,Hard
Q0047,Computer Science,Understand,Illustrate the concept of neural networks using a diagram.,9,45.14,15.51,0.68,0.33,Easy
Q0048,Biology,Remember,List the stages of genetic mutation.,6,67.94,9.21,0.49,0.42,Easy
Q0049,Biology,Evaluate,Judge the effectiveness of protein synthesis as a defense mechanism.,10,48.98,16.61,0.59,0.49,Medium
Q0050,Computer Science,Apply,Write a program to implement machine learning.,7,62.84,10.34,0.55,0.52,Medium
Q0051,Computer Science,Analyze,Differentiate between sorting algorithms and dynamic programming.,7,62.66,8.64,0.57,0.44,Medium
Q0052,Biology,Analyze,Break down the molecular mechanisms of genetic mutation.,8,34.6,18.35,0.4,0.72,Medium
Q0053,Physics,Apply,Apply the formula for nuclear fission to solve the given problem.,11,41.34,21.44,0.25,0.71,Medium
Q0054,Physics,Analyze,Differentiate between electromagnetism and electric circuits.,6,54.72,14.69,0.69,0.48,Medium
Q0055,Mathematics,Analyze,Analyze the relationship between calculus and matrices.,7,61.57,8.84,0.58,0.52,Medium
Q0056,Biology,Apply,Calculate the rate of enzyme activity given the experimental data.,10,78.17,8.33,0.84,0.29,Easy
